Element,Atomic Number,Mass Number,Neutron Count,Proton Count,Binding Energy (MeV),Half-Life (seconds),Decay Mode,Stability Index,Predicted Existence Probability (%)
Hydrogen,1,3,2,1,9.452,415527.54771,Gamma,0.543,64.6
Fluorine,9,31,22,9,6.883,inf,Stable,0.403,85.26
Hydrogen,1,3,2,1,4.367,inf,Stable,0.075,57.85
Neon,10,37,27,10,5.539,498975.507841,Spontaneous Fission,0.167,54.25
Fluorine,9,25,16,9,1.677,209769.940444,Gamma,0.431,95.45
Oxygen,8,19,11,8,3.016,811685.964665,Gamma,0.319,94.45
Beryllium,4,10,6,4,9.409,636071.553376,Spontaneous Fission,0.346,65.39
Helium,2,6,4,2,4.098,940192.025998,Alpha,0.512,67.88
Nitrogen,7,23,16,7,3.103,861883.216499,Alpha,0.082,99.76
Fluorine,9,32,23,9,7.422,125928.224701,Spontaneous Fission,0.337,89.07
Fluorine,9,32,23,9,3.101,366193.768336,Alpha,0.291,58.58
Nitrogen,7,25,18,7,3.323,144366.175467,Alpha,0.193,71.41
Nitrogen,7,25,18,7,3.054,882935.259551,Alpha,0.538,95.11
Carbon,6,16,10,6,2.237,inf,Stable,0.552,72.95
Helium,2,8,6,2,3.86,inf,Stable,0.641,96.13
Helium,2,4,2,2,7.738,344495.630545,Alpha,0.374,58.31
Beryllium,4,12,8,4,5.169,56317.066276,Beta,0.88,70.86
Lithium,3,11,8,3,5.614,775295.461358,Alpha,0.553,87.17
Beryllium,4,12,8,4,1.554,914243.321306,Spontaneous Fission,0.809,85.32
Neon,10,27,17,10,2.805,693273.755501,Beta,0.986,97.68
Lithium,3,9,6,3,8.148,818470.405672,Beta,0.361,53.64
Carbon,6,22,16,6,9.255,inf,Stable,0.252,90.74
Hydrogen,1,3,2,1,1.395,812236.610815,Spontaneous Fission,0.713,81.95
Helium,2,5,3,2,8.562,inf,Stable,0.822,97.1
Beryllium,4,12,8,4,6.315,482004.735522,Spontaneous Fission,0.818,98.9
Carbon,6,17,11,6,1.763,inf,Stable,0.585,72.18
Hydrogen,1,2,1,1,4.02,424189.328805,Alpha,0.668,62.57
Fluorine,9,18,9,9,9.197,391229.143108,Spontaneous Fission,0.032,89.22
Boron,5,18,13,5,2.079,inf,Stable,0.427,63.63
Fluorine,9,27,18,9,5.627,165596.975933,Alpha,0.785,53.59
Carbon,6,15,9,6,7.474,505503.103096,Beta,0.033,85.33
Carbon,6,20,14,6,1.111,961904.093488,Alpha,0.172,91.97
Beryllium,4,10,6,4,3.908,600911.968089,Alpha,0.135,76.03
Beryllium,4,12,8,4,4.49,inf,Stable,0.079,66.88
Oxygen,8,32,24,8,9.166,462089.44857,Alpha,0.107,71.93
Fluorine,9,19,10,9,1.074,881297.835745,Gamma,0.007,66.28
Lithium,3,11,8,3,8.081,50731.876798,Alpha,0.92,78.7
Nitrogen,7,20,13,7,4.513,79593.992633,Beta,0.841,77.59
Helium,2,5,3,2,9.944,4051.930507,Alpha,0.93,50.06
Oxygen,8,17,9,8,9.195,812715.603995,Alpha,0.651,63.62
Nitrogen,7,19,12,7,7.135,inf,Stable,0.995,51.47
Fluorine,9,20,11,9,8.212,590488.281864,Gamma,0.043,81.89
Nitrogen,7,19,12,7,7.77,inf,Stable,0.903,95.5
Oxygen,8,24,16,8,4.725,938657.167265,Spontaneous Fission,0.479,57.81
Neon,10,35,25,10,5.326,697893.721857,Spontaneous Fission,0.262,70.51
Carbon,6,23,17,6,4.028,418828.897779,Alpha,0.599,57.34
Oxygen,8,28,20,8,4.048,746687.092843,Spontaneous Fission,0.518,93.55
Hydrogen,1,3,2,1,8.205,187743.447203,Gamma,0.443,88.63
Lithium,3,12,9,3,9.433,106829.169197,Spontaneous Fission,0.307,55.15
Oxygen,8,27,19,8,4.52,673585.647385,Alpha,0.639,74.19
Boron,5,17,12,5,1.135,inf,Stable,0.693,97.07
Helium,2,7,5,2,3.596,89512.747751,Gamma,0.065,50.44
Beryllium,4,16,12,4,6.643,176776.934061,Spontaneous Fission,0.548,71.94
Hydrogen,1,2,1,1,1.988,341586.811143,Gamma,0.323,85.28
Oxygen,8,22,14,8,8.739,473478.345526,Beta,0.909,90.5
Carbon,6,13,7,6,7.743,966820.696912,Gamma,0.658,63.95
Helium,2,6,4,2,4.246,556396.23155,Spontaneous Fission,0.623,85.86
Oxygen,8,21,13,8,7.306,inf,Stable,0.128,51.93
Nitrogen,7,18,11,7,8.183,50533.443135,Alpha,0.371,99.07
Carbon,6,20,14,6,2.637,inf,Stable,0.72,58.55
Lithium,3,8,5,3,3.326,428734.709618,Spontaneous Fission,0.222,74.85
Lithium,3,10,7,3,4.518,713733.411512,Beta,0.235,54.77
Fluorine,9,29,20,9,1.719,626875.175499,Spontaneous Fission,0.253,60.77
Oxygen,8,23,15,8,4.725,800482.324093,Spontaneous Fission,0.62,68.44
Helium,2,6,4,2,6.031,821359.845906,Gamma,0.812,58.17
Fluorine,9,34,25,9,4.643,450332.827367,Spontaneous Fission,0.458,87.01
Neon,10,37,27,10,9.795,605630.720312,Alpha,0.77,86.4
Boron,5,11,6,5,3.712,472229.09987,Gamma,0.969,66.41
Neon,10,26,16,10,9.516,139181.080962,Alpha,0.908,94.07
Helium,2,8,6,2,9.324,inf,Stable,0.285,92.07
Oxygen,8,18,10,8,8.283,62949.353901,Beta,0.632,68.03
Nitrogen,7,18,11,7,2.026,434580.352807,Beta,0.276,65.76
Oxygen,8,26,18,8,7.003,752869.280021,Gamma,0.642,59.09
Boron,5,13,8,5,2.273,902238.68851,Spontaneous Fission,0.02,96.95
Lithium,3,9,6,3,2.271,inf,Stable,0.838,74.53
Oxygen,8,31,23,8,5.297,452503.921446,Beta,0.821,79.34
Fluorine,9,19,10,9,3.092,736937.95023,Alpha,0.086,69.26
Lithium,3,12,9,3,6.253,706046.538289,Gamma,0.189,82.97
Boron,5,18,13,5,4.281,267113.080339,Gamma,0.148,76.06
Neon,10,36,26,10,3.382,85462.575239,Alpha,0.351,87.31
Beryllium,4,16,12,4,3.868,inf,Stable,0.889,95.25
Neon,10,40,30,10,4.626,inf,Stable,0.537,91.0
Beryllium,4,9,5,4,1.64,inf,Stable,0.532,97.86
Oxygen,8,30,22,8,9.496,609615.675432,Beta,0.045,91.29
Nitrogen,7,25,18,7,8.459,271663.282915,Gamma,0.479,81.71
Beryllium,4,10,6,4,3.91,49204.419267,Alpha,0.887,78.26
Boron,5,12,7,5,4.207,844346.624852,Alpha,0.341,54.49
Hydrogen,1,3,2,1,8.041,802713.519152,Spontaneous Fission,0.161,74.68
Hydrogen,1,3,2,1,3.094,199565.203302,Beta,0.621,54.65
Neon,10,38,28,10,5.305,490091.240349,Beta,0.726,66.09
Neon,10,22,12,10,8.284,320372.009216,Beta,0.881,81.86
Oxygen,8,16,8,8,7.139,inf,Stable,0.09,50.51
Oxygen,8,26,18,8,5.566,184894.907809,Spontaneous Fission,0.525,88.12
Beryllium,4,14,10,4,8.857,285288.363044,Spontaneous Fission,0.024,56.72
Hydrogen,1,2,1,1,4.317,597249.012622,Gamma,0.651,74.19
Carbon,6,24,18,6,3.37,863579.913677,Alpha,0.151,50.74
Boron,5,14,9,5,8.306,586762.759293,Gamma,0.925,84.07
Neon,10,37,27,10,9.642,738016.290241,Gamma,0.78,62.61
Beryllium,4,11,7,4,6.439,719279.405777,Alpha,0.795,60.4
Boron,5,10,5,5,7.668,293628.555474,Spontaneous Fission,0.134,54.09
Carbon,6,12,6,6,5.164,34890.426518,Alpha,0.562,53.17
Neon,10,33,23,10,9.892,250477.655814,Beta,0.545,61.26
Nitrogen,7,22,15,7,1.289,190291.349573,Beta,0.105,52.34
Hydrogen,1,4,3,1,1.097,722346.468607,Spontaneous Fission,0.098,50.66
Fluorine,9,19,10,9,9.474,937944.169257,Gamma,0.553,62.84
Carbon,6,13,7,6,7.292,713512.45304,Gamma,0.897,57.48
Boron,5,13,8,5,9.111,911496.026341,Alpha,0.584,66.19
Boron,5,13,8,5,2.198,345331.737651,Spontaneous Fission,0.136,61.07
Oxygen,8,23,15,8,8.462,389639.391084,Beta,0.786,89.84
Neon,10,30,20,10,6.154,556751.40597,Spontaneous Fission,0.215,77.02
Oxygen,8,16,8,8,4.778,inf,Stable,0.343,83.96
Oxygen,8,23,15,8,6.005,390128.592537,Beta,0.617,72.77
Beryllium,4,11,7,4,7.79,290068.157482,Spontaneous Fission,0.901,84.7
Oxygen,8,32,24,8,6.219,707870.7134,Gamma,0.46,84.61
Oxygen,8,17,9,8,8.007,593821.029977,Alpha,0.808,79.46
Hydrogen,1,4,3,1,5.438,238939.588139,Beta,0.5,63.46
Boron,5,13,8,5,9.184,inf,Stable,0.578,57.63
Oxygen,8,22,14,8,7.362,641507.77593,Alpha,0.184,70.5
Nitrogen,7,28,21,7,8.946,723708.157549,Alpha,0.979,65.37
Beryllium,4,10,6,4,6.757,inf,Stable,0.967,79.95
Boron,5,13,8,5,9.088,717998.517728,Beta,0.899,72.45
Lithium,3,8,5,3,9.662,368264.659696,Spontaneous Fission,0.534,86.82
Lithium,3,12,9,3,9.096,38269.664381,Beta,0.198,72.02
Carbon,6,16,10,6,4.608,342902.907413,Beta,0.197,76.07
Fluorine,9,34,25,9,9.281,668375.746817,Spontaneous Fission,0.423,86.05
Neon,10,26,16,10,6.021,823042.050365,Gamma,0.554,75.11
Nitrogen,7,15,8,7,9.364,5398.15746,Beta,0.647,66.27
Carbon,6,21,15,6,3.612,866477.575162,Alpha,0.284,62.26
Fluorine,9,27,18,9,7.33,inf,Stable,0.733,96.46
Boron,5,10,5,5,5.18,660637.149183,Alpha,0.916,65.88
Helium,2,5,3,2,2.866,917135.9132,Spontaneous Fission,0.991,59.46
Nitrogen,7,19,12,7,9.051,287828.022512,Spontaneous Fission,0.849,98.28
Oxygen,8,26,18,8,2.464,460438.34823,Spontaneous Fission,0.264,96.08
Carbon,6,12,6,6,8.64,561614.301215,Spontaneous Fission,0.671,92.73
Carbon,6,17,11,6,7.215,31768.685513,Gamma,0.645,55.08
Nitrogen,7,22,15,7,2.95,168736.052581,Gamma,0.279,55.54
Lithium,3,11,8,3,3.947,326468.947191,Gamma,0.035,87.74
Oxygen,8,25,17,8,5.607,inf,Stable,0.754,68.77
Neon,10,21,11,10,5.036,inf,Stable,0.179,79.76
Oxygen,8,20,12,8,6.486,555267.01443,Beta,0.711,51.43
Boron,5,10,5,5,5.478,127928.131631,Beta,0.849,77.46
Lithium,3,12,9,3,3.781,286486.947473,Spontaneous Fission,0.66,84.35
Nitrogen,7,25,18,7,8.051,109762.934233,Alpha,0.812,61.72
Beryllium,4,14,10,4,3.995,216238.648503,Gamma,0.896,91.65
Hydrogen,1,2,1,1,3.013,411091.513253,Beta,0.162,79.93
Fluorine,9,29,20,9,3.105,inf,Stable,0.674,84.92
Oxygen,8,32,24,8,3.116,930063.661926,Alpha,0.431,67.16
Oxygen,8,21,13,8,4.362,389209.858398,Alpha,0.002,69.8
Neon,10,35,25,10,8.184,inf,Stable,0.748,65.83
Oxygen,8,24,16,8,1.338,inf,Stable,0.721,56.32
Neon,10,36,26,10,3.913,inf,Stable,0.934,73.37
Lithium,3,7,4,3,9.06,291888.70637,Spontaneous Fission,0.642,59.85
Helium,2,4,2,2,6.736,inf,Stable,0.607,94.09
Fluorine,9,31,22,9,7.716,inf,Stable,0.769,74.25
Nitrogen,7,28,21,7,1.94,949703.831042,Beta,0.154,96.03
Lithium,3,7,4,3,3.857,414856.220277,Spontaneous Fission,0.831,64.33
Helium,2,6,4,2,5.508,517666.592173,Alpha,0.351,58.59
Neon,10,23,13,10,1.055,478248.451465,Alpha,0.13,87.93
Hydrogen,1,3,2,1,7.687,inf,Stable,0.571,92.24
Helium,2,5,3,2,3.83,297092.238818,Beta,0.216,79.88
Nitrogen,7,16,9,7,3.664,113320.92949,Spontaneous Fission,0.569,82.05
Fluorine,9,20,11,9,8.349,688518.423397,Beta,0.086,62.9
Nitrogen,7,25,18,7,5.191,595284.032658,Spontaneous Fission,0.507,56.31
Carbon,6,14,8,6,6.29,424760.322994,Spontaneous Fission,0.507,81.15
Carbon,6,13,7,6,5.117,619687.304194,Alpha,0.372,91.58
Oxygen,8,21,13,8,3.148,61617.650579,Beta,0.162,68.12
Carbon,6,16,10,6,1.064,815035.61144,Spontaneous Fission,0.532,74.48
Lithium,3,7,4,3,3.406,inf,Stable,0.42,67.42
Oxygen,8,32,24,8,8.681,713674.728248,Beta,0.629,80.33
Lithium,3,12,9,3,7.0,inf,Stable,0.494,69.33
Neon,10,23,13,10,6.813,673694.212721,Alpha,0.402,93.36
Nitrogen,7,27,20,7,7.79,406806.20717,Spontaneous Fission,0.884,85.34
Beryllium,4,12,8,4,5.442,914451.706291,Gamma,0.035,70.87
Fluorine,9,35,26,9,7.126,55634.387665,Gamma,0.438,93.99
Oxygen,8,20,12,8,2.666,inf,Stable,0.656,86.19
Neon,10,29,19,10,4.468,331972.872787,Alpha,0.345,98.6
Beryllium,4,13,9,4,1.448,379081.403448,Gamma,0.418,92.88
Helium,2,8,6,2,7.399,81991.648671,Spontaneous Fission,0.369,81.97
Nitrogen,7,19,12,7,9.947,860455.221712,Spontaneous Fission,0.103,95.45
Lithium,3,7,4,3,4.12,616877.670639,Beta,0.051,88.75
Nitrogen,7,22,15,7,1.562,378819.709472,Gamma,0.411,62.46
Helium,2,5,3,2,6.206,745247.304638,Spontaneous Fission,0.403,63.03
Carbon,6,14,8,6,1.397,inf,Stable,0.356,87.88
Oxygen,8,19,11,8,8.226,inf,Stable,0.559,74.96
Boron,5,10,5,5,2.901,inf,Stable,0.463,78.76
Helium,2,7,5,2,1.73,974871.864045,Gamma,0.006,90.04
Carbon,6,17,11,6,3.046,74219.72026,Spontaneous Fission,0.468,90.37
Lithium,3,7,4,3,2.465,452546.548513,Beta,0.209,78.32
Lithium,3,10,7,3,1.117,555767.624561,Alpha,0.925,66.41
Boron,5,11,6,5,1.712,142685.207497,Spontaneous Fission,0.71,62.64
Nitrogen,7,26,19,7,8.415,299983.368045,Alpha,0.186,95.59
Carbon,6,17,11,6,4.713,738568.227735,Beta,0.405,71.2
Hydrogen,1,2,1,1,7.873,192924.659045,Beta,0.498,94.51
Lithium,3,12,9,3,8.507,833540.885247,Gamma,0.31,58.21
Hydrogen,1,4,3,1,1.556,692282.084202,Beta,0.2,79.27
Helium,2,7,5,2,2.951,195561.943416,Gamma,0.296,53.68
Boron,5,18,13,5,6.726,inf,Stable,0.953,98.13
Fluorine,9,21,12,9,6.956,949982.058011,Spontaneous Fission,0.765,72.79
Helium,2,6,4,2,4.299,136490.865123,Alpha,0.219,85.5
Beryllium,4,16,12,4,8.182,12084.880378,Beta,0.025,69.48
Oxygen,8,20,12,8,1.946,406730.932634,Gamma,0.591,76.94
Hydrogen,1,3,2,1,9.0,616847.820174,Beta,0.982,89.7
Beryllium,4,14,10,4,3.693,754240.918278,Spontaneous Fission,0.386,73.48
Lithium,3,6,3,3,4.985,269706.855938,Beta,0.138,69.76
Hydrogen,1,2,1,1,8.708,404100.669099,Beta,0.001,79.2
Carbon,6,14,8,6,7.122,inf,Stable,0.9,54.15
Oxygen,8,28,20,8,6.634,751065.130846,Beta,0.379,88.25
Neon,10,38,28,10,3.63,inf,Stable,0.398,84.95
Carbon,6,15,9,6,8.191,144396.70449,Spontaneous Fission,0.535,62.15
Fluorine,9,34,25,9,7.45,107020.878297,Alpha,0.12,64.49
Hydrogen,1,3,2,1,2.098,inf,Stable,0.472,95.27
Boron,5,15,10,5,2.349,954067.402276,Alpha,0.109,93.14
Fluorine,9,23,14,9,2.796,9887.328626,Gamma,0.139,90.89
Hydrogen,1,4,3,1,8.62,inf,Stable,0.421,99.8
Lithium,3,11,8,3,5.401,791494.852284,Alpha,0.841,60.47
Carbon,6,22,16,6,8.221,473710.739182,Gamma,0.326,94.71
Neon,10,29,19,10,9.0,453145.313249,Beta,0.694,90.51
Nitrogen,7,24,17,7,2.07,367731.997887,Alpha,0.789,93.22
Hydrogen,1,2,1,1,4.651,498221.681698,Spontaneous Fission,0.304,73.68
Oxygen,8,26,18,8,3.406,65483.365937,Gamma,0.942,74.87
Oxygen,8,24,16,8,2.866,901274.406854,Spontaneous Fission,0.685,75.1
Fluorine,9,23,14,9,9.472,763650.346401,Alpha,0.607,92.75
Lithium,3,7,4,3,8.962,134964.795715,Gamma,0.13,60.77
Lithium,3,6,3,3,3.345,85837.43247,Alpha,0.34,50.06
Neon,10,23,13,10,9.759,95573.670916,Spontaneous Fission,0.037,53.62
Oxygen,8,27,19,8,6.54,823273.885845,Alpha,0.994,63.43
Fluorine,9,32,23,9,6.956,938177.937296,Beta,0.104,62.97
Fluorine,9,36,27,9,8.742,inf,Stable,0.792,90.51
Nitrogen,7,21,14,7,7.872,787747.823904,Gamma,0.854,96.64
Nitrogen,7,21,14,7,7.638,864286.520676,Alpha,0.64,64.43
Carbon,6,13,7,6,7.348,inf,Stable,0.892,99.53
Beryllium,4,16,12,4,4.236,432614.921398,Alpha,0.785,91.57
Boron,5,18,13,5,4.904,999127.107856,Beta,0.328,82.35
Oxygen,8,23,15,8,7.036,634873.560579,Gamma,0.688,71.02
Helium,2,6,4,2,5.794,inf,Stable,0.05,87.12
Fluorine,9,36,27,9,4.342,5787.532774,Gamma,0.916,96.32
Oxygen,8,29,21,8,4.516,586195.681459,Spontaneous Fission,0.796,66.36
Neon,10,21,11,10,4.388,inf,Stable,0.93,51.91
Beryllium,4,10,6,4,6.414,472957.499517,Beta,0.867,55.89
Neon,10,39,29,10,11.949,70899226306.57253,Spontaneous Fission,0.441,98.27
Carbon,6,23,17,6,9.535,918358087264.0687,Electron Capture,0.478,87.18
Phosphorus,15,35,20,15,13.384,157571398974.43152,Beta-,0.203,83.56
Neon,10,23,13,10,11.077,397752744148.8179,Gamma,0.447,61.06
Magnesium,12,27,15,12,12.827,inf,Stable,1.0,100.0
Beryllium,4,12,8,4,12.358,386763985524.79553,Gamma,0.422,80.44
Aluminum,13,45,32,13,4.82,429765457746.60767,Gamma,0.457,67.88
Carbon,6,15,9,6,9.132,657569481649.081,Beta-,0.951,85.42
Phosphorus,15,59,44,15,5.695,305676787285.9929,Electron Capture,0.438,97.95
Neon,10,24,14,10,12.157,399097643106.914,Gamma,0.932,98.82
Hydrogen,1,4,3,1,12.767,inf,Stable,1.0,100.0
Boron,5,17,12,5,10.352,541235285274.03674,Beta+,0.21,87.55
Lithium,3,7,4,3,14.985,527785921355.0773,Beta-,0.071,66.96
Sodium,11,23,12,11,6.093,546654357837.299,Electron Capture,0.882,83.56
Beryllium,4,14,10,4,9.348,775266470372.8546,Spontaneous Fission,0.279,79.38
Nitrogen,7,20,13,7,1.537,693269654556.7185,Beta+,0.994,86.19
Carbon,6,15,9,6,6.242,inf,Stable,1.0,100.0
Nitrogen,7,16,9,7,11.957,237587088075.1775,Spontaneous Fission,0.951,83.97
Helium,2,7,5,2,14.54,347432295733.89465,Alpha,0.414,84.64
Boron,5,17,12,5,12.06,247037933152.25174,Beta+,0.765,86.31
Hydrogen,1,3,2,1,5.874,166118254847.4267,Spontaneous Fission,0.061,86.37
Boron,5,18,13,5,12.409,544141532100.20966,Beta-,0.394,93.97
Helium,2,7,5,2,1.482,287485631051.84247,Gamma,0.956,58.26
Helium,2,6,4,2,8.396,429131340031.15924,Beta+,0.159,64.59
Nitrogen,7,27,20,7,3.78,951150913250.4729,Electron Capture,0.742,95.16
Aluminum,13,52,39,13,11.796,361435969493.272,Beta+,0.051,97.62
Aluminum,13,43,30,13,4.556,907663905942.0521,Electron Capture,0.592,93.96
Magnesium,12,46,34,12,7.192,232498806888.05414,Gamma,0.81,93.98
Lithium,3,11,8,3,6.943,453820210462.5331,Electron Capture,0.661,72.05
Beryllium,4,14,10,4,6.652,727957328917.0643,Spontaneous Fission,0.129,67.68
Magnesium,12,47,35,12,6.771,inf,Stable,1.0,100.0
Carbon,6,23,17,6,7.006,127150977012.26596,Beta+,0.144,54.0
Helium,2,6,4,2,6.443,693690847650.7509,Spontaneous Fission,0.715,95.61
Neon,10,32,22,10,13.955,122115800854.23979,Alpha,0.366,64.2
Neon,10,33,23,10,4.681,inf,Stable,1.0,100.0
Neon,10,25,15,10,3.765,134881055904.86465,Electron Capture,0.811,89.54
Fluorine,9,36,27,9,5.811,408371162882.4227,Electron Capture,0.942,92.41
Nitrogen,7,26,19,7,4.421,314755719686.3179,Beta-,0.487,67.57
Beryllium,4,14,10,4,12.905,682465514288.3394,Gamma,0.034,72.96
Hydrogen,1,4,3,1,8.334,116843587160.43452,Beta-,0.782,96.87
Phosphorus,15,33,18,15,8.971,inf,Stable,1.0,100.0
Sodium,11,22,11,11,4.488,375120429838.6448,Alpha,0.607,50.42
Beryllium,4,15,11,4,8.823,153344249749.18536,Spontaneous Fission,0.194,62.4
Hydrogen,1,2,1,1,14.419,inf,Stable,1.0,100.0
Beryllium,4,10,6,4,5.408,inf,Stable,1.0,100.0
Fluorine,9,22,13,9,13.49,934733662841.7062,Gamma,0.099,81.02
Lithium,3,12,9,3,1.254,510103393625.58984,Electron Capture,0.844,85.9
Sodium,11,36,25,11,2.479,354243274066.72797,Alpha,0.752,79.33
Hydrogen,1,2,1,1,13.737,629301853863.3021,Gamma,0.929,53.96
Nitrogen,7,22,15,7,12.624,714080495745.5398,Gamma,0.865,82.07
Sodium,11,28,17,11,10.149,115935417603.99274,Gamma,0.627,52.54
Helium,2,6,4,2,7.316,973261338057.5399,Beta-,0.873,95.09
Boron,5,16,11,5,8.81,68894438551.68242,Electron Capture,0.163,58.72
Beryllium,4,13,9,4,4.229,302197585692.34503,Beta+,0.528,97.81
Aluminum,13,48,35,13,5.123,620682007867.3793,Beta-,0.459,56.13
Fluorine,9,35,26,9,14.116,319646490661.91156,Electron Capture,0.414,80.12
Lithium,3,8,5,3,13.603,836043781012.7372,Beta-,0.831,96.17
Nitrogen,7,23,16,7,9.929,660561735028.5277,Spontaneous Fission,0.659,94.95
Helium,2,5,3,2,12.775,inf,Stable,1.0,100.0
Oxygen,8,23,15,8,5.564,382579936781.95325,Alpha,0.671,51.38
Helium,2,6,4,2,4.584,inf,Stable,1.0,100.0
Magnesium,12,35,23,12,2.824,627835216526.1292,Beta+,0.566,82.41
Boron,5,14,9,5,5.262,258117131491.05554,Alpha,0.057,76.52
Aluminum,13,30,17,13,11.404,434176897849.3837,Spontaneous Fission,0.141,75.2
Hydrogen,1,4,3,1,2.704,965551133560.9471,Beta-,0.148,86.01
Neon,10,24,14,10,6.819,482930706244.3112,Beta-,0.389,71.63
Magnesium,12,31,19,12,4.29,inf,Stable,1.0,100.0
Boron,5,18,13,5,14.102,884291643801.779,Beta+,0.49,94.98
Neon,10,25,15,10,7.989,42121428521.17018,Electron Capture,0.288,98.72
Beryllium,4,12,8,4,5.189,462087384984.13025,Beta-,0.382,93.21
Oxygen,8,25,17,8,1.874,575842851614.4049,Spontaneous Fission,0.465,57.37
Aluminum,13,52,39,13,12.577,12521673087.753096,Gamma,0.272,65.96
Nitrogen,7,26,19,7,10.26,554168221347.5347,Alpha,0.026,84.06
Phosphorus,15,32,17,15,14.062,640840092407.0775,Beta-,0.836,56.52
Oxygen,8,26,18,8,4.124,188686494924.13525,Alpha,0.342,92.77
Aluminum,13,43,30,13,7.877,122114209419.17284,Alpha,0.268,50.34
Silicon,14,42,28,14,1.202,494642778377.03064,Electron Capture,0.475,70.66
Carbon,6,17,11,6,12.342,27051496602.442104,Electron Capture,0.272,83.91
Phosphorus,15,51,36,15,10.591,960773222938.6191,Electron Capture,0.037,65.74
Helium,2,8,6,2,8.517,153228573122.45618,Spontaneous Fission,0.975,78.98
Carbon,6,20,14,6,13.891,219080844585.559,Electron Capture,0.93,93.34
Nitrogen,7,25,18,7,3.2,264095612223.84937,Beta-,0.302,65.23
Aluminum,13,34,21,13,3.959,inf,Stable,1.0,100.0
Silicon,14,50,36,14,10.626,43735151984.85634,Gamma,0.796,93.64
Magnesium,12,39,27,12,8.628,513198719151.0801,Beta+,0.269,54.77
Oxygen,8,26,18,8,12.993,380705705046.06836,Spontaneous Fission,0.768,85.36
Neon,10,20,10,10,5.816,inf,Stable,1.0,100.0
Silicon,14,42,28,14,4.06,872700170073.2379,Spontaneous Fission,0.557,77.25
Helium,2,5,3,2,8.778,104242947479.61871,Alpha,0.2,55.54
Oxygen,8,31,23,8,10.645,225012351058.72986,Alpha,0.375,92.75
Fluorine,9,24,15,9,1.448,inf,Stable,1.0,100.0
Sodium,11,39,28,11,1.155,inf,Stable,1.0,100.0
Nitrogen,7,21,14,7,10.3,68950908420.36111,Beta+,0.902,69.86
Magnesium,12,29,17,12,9.011,260625275790.62878,Spontaneous Fission,0.235,55.51
Oxygen,8,21,13,8,2.615,188037827992.01163,Beta-,0.057,97.94
Boron,5,13,8,5,2.759,110354484198.51312,Spontaneous Fission,0.469,54.47
Nitrogen,7,20,13,7,14.353,496414185444.813,Gamma,0.88,91.88
Hydrogen,1,3,2,1,9.17,83129132649.93683,Beta+,0.139,57.85
Phosphorus,15,37,22,15,8.936,958127264540.7799,Gamma,0.144,72.17
Nitrogen,7,26,19,7,11.153,63822121824.27949,Beta-,0.981,60.92
Magnesium,12,44,32,12,12.54,inf,Stable,1.0,100.0
Oxygen,8,23,15,8,7.902,inf,Stable,1.0,100.0
Magnesium,12,29,17,12,8.528,457296445926.62256,Alpha,0.628,53.83
Silicon,14,53,39,14,5.296,inf,Stable,1.0,100.0
Phosphorus,15,35,20,15,6.061,380719278470.06915,Alpha,0.644,52.98
Phosphorus,15,47,32,15,12.759,166846206068.70038,Electron Capture,0.394,52.66
Silicon,14,41,27,14,5.759,98036681430.3788,Spontaneous Fission,0.465,50.14
Hydrogen,1,3,2,1,14.214,811814643877.0376,Gamma,0.631,71.75
Helium,2,4,2,2,4.525,697729363792.2852,Gamma,0.573,84.79
Oxygen,8,28,20,8,5.752,inf,Stable,1.0,100.0
Silicon,14,46,32,14,3.635,731354957698.0857,Beta+,0.698,79.26
Aluminum,13,41,28,13,3.157,694140805022.1047,Electron Capture,0.54,93.74
Fluorine,9,27,18,9,12.159,inf,Stable,1.0,100.0
Oxygen,8,30,22,8,6.74,148923526427.84378,Spontaneous Fission,0.712,98.05
Lithium,3,11,8,3,11.922,531129929612.1741,Electron Capture,0.644,85.83
Phosphorus,15,34,19,15,10.694,501592571467.224,Beta-,0.752,59.3
Fluorine,9,30,21,9,12.663,244231281954.92993,Gamma,0.605,73.66
Sodium,11,29,18,11,10.139,558895630173.2869,Gamma,0.569,84.53
Oxygen,8,22,14,8,9.755,249320226075.0571,Spontaneous Fission,0.132,68.27
Fluorine,9,32,23,9,5.079,612001543740.2638,Beta-,0.031,61.04
Nitrogen,7,27,20,7,5.3,649325914619.6196,Gamma,0.051,66.38
Phosphorus,15,56,41,15,13.368,inf,Stable,1.0,100.0
Fluorine,9,34,25,9,8.909,852699739830.5531,Beta-,0.085,90.03
Phosphorus,15,47,32,15,1.633,550506424496.371,Beta-,0.826,63.28
Sodium,11,25,14,11,10.118,939494907961.6198,Gamma,0.958,73.8
Neon,10,25,15,10,13.593,761136976110.5397,Gamma,0.079,57.39
Beryllium,4,12,8,4,2.007,694233625325.185,Alpha,0.677,73.56
Magnesium,12,38,26,12,2.214,896304765846.525,Beta+,0.658,58.46
Magnesium,12,34,22,12,8.878,900695675359.4149,Alpha,0.289,83.07
Helium,2,7,5,2,6.437,995214228467.625,Beta+,0.927,62.49
Neon,10,23,13,10,10.299,105551789208.78549,Beta-,0.587,54.47
Sodium,11,44,33,11,1.941,84063442893.30458,Alpha,0.237,59.2
Lithium,3,12,9,3,13.309,inf,Stable,1.0,100.0
Beryllium,4,12,8,4,1.353,436298203075.0895,Electron Capture,0.503,86.66
